,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p7-0035-0075-0015,0,375.0,43,19.320893965323766,19.320893965323766,35.70800925889513,25.908694007793784,19.776487350463867,31.13679746659597,31.13679746659597,2.8402588472714028,2.8402588472714028
p7-0035-0073-0045,1,422.0,42,27.51606218848748,27.51606218848748,39.60906999695261,32.22691917445627,27.31367492675781,30.421711500729778,32.150093521552066,3.1428237166231736,4.809125803000518
p7-0035-0074-0077,2,438.0,44,29.365346413224803,29.365346413224803,41.15829507474578,34.70007969021042,29.651180267333984,30.310564927472463,32.561890702269395,2.8155980877961255,4.378987068084991
p7-0035-0074-0109,3,461.0,45,33.93617587803243,33.93617587803243,42.75418355849657,37.87319129532895,33.69084930419922,31.297242781202574,32.28071750529159,4.027063310852106,6.654355415771363
p7-0035-0074-0141,4,454.0,46,34.03559397600821,34.03559397600821,43.93010138862873,37.97585078843573,34.23770904541016,29.938828177927277,32.57974646480073,5.663904447023625,10.188021517442829
p7-0035-0063-0173,5,209.0,22,30.028499712784324,30.028499712784324,40.262357680359365,34.158784181101964,30.42499923706055,27.483042637249465,25.809442054712033,7.722605020486233,11.687396741940072
p7-0035-0064-0205,6,207.0,20,30.854977787404817,30.854977787404817,40.22502695559327,34.72807773378499,31.47214508056641,29.53694691194042,28.877890561513855,6.372357093029183,8.8613918395578
p7-0035-0062-0237,7,221.0,22,38.123123781713424,38.123123781713424,49.94968075716241,42.660856746581324,38.0722885131836,30.699963143251455,32.54732881088602,9.822482290771575,14.490073009448894
p7-0035-0062-0269,8,217.0,21,33.18812094306067,33.18812094306067,42.623526021815216,36.70660614638831,33.06501007080078,28.96992049101178,26.233324595860072,7.754110617331603,9.681426312937507
p7-0035-0064-0303,9,239.0,26,38.52854781370283,38.52854781370283,50.59363575937765,43.08082740019996,38.45763397216797,24.5541565415056,26.02518820463364,9.334872688671622,12.84637313750748
p7-0035-0064-0334,10,222.0,23,39.487045313860925,39.487045313860925,50.39764945435562,44.462064216545656,39.9487533569336,30.414129740214623,29.24629240637427,10.822459447732838,14.013286031514136
p7-0035-0062-0366,11,238.0,24,34.60446045979732,34.60446045979732,45.82463567050833,38.75046332733231,34.263107299804695,25.28106461534905,22.70647875801856,9.977183297245087,11.83415123626214
p7-0035-0062-0398,12,225.0,23,40.33954694959852,40.33954694959852,51.93754185095726,44.4060681293965,39.70593643188477,28.752096847051344,27.536038890414765,13.547098883671017,16.85833058357239
p7-0035-0062-0430,13,229.0,23,39.99601748104179,39.99601748104179,49.77235981452344,44.5553910284609,40.03746795654297,25.088202888844695,23.349761814009156,13.159276874426645,15.482725382379893
p7-0035-0062-0462,14,216.0,21,42.499827782313034,42.499827782313034,53.589426421857205,47.28986661757775,42.21392822265625,24.743091090007205,23.406232253268914,11.970614661466366,13.78601828383075
p7-0035-0064-0494,15,227.0,22,43.68883152260129,43.68883152260129,53.48676692875043,48.74576488345568,43.54039764404297,25.094112034064654,25.60924190571655,14.655979963962855,16.814743556902798
p7-0035-0061-0526,16,241.0,24,45.539574397550076,45.539574397550076,58.26509969881128,50.173665105759014,44.73222732543945,27.11420484684637,26.744311044324974,15.154230276915179,15.828487105453114
p7-0035-0062-0557,17,248.0,24,41.160471800834905,41.160471800834905,50.74295865844205,45.022025088037175,41.16536331176758,23.414071769326878,21.711603471348358,16.028822720374208,16.645700138362667
p7-0035-0062-0590,18,228.0,24,42.56115825552689,42.56115825552689,50.92961228227254,46.347265817233726,42.599998474121094,25.406160386601705,23.701986308683427,13.986549069685857,13.798843044902018
p7-0035-0062-0621,19,272.0,26,44.82585046571844,44.82585046571844,58.26509969881128,50.350986048398,44.73025131225586,22.51891876145302,22.305348662769088,13.6033984663153,13.301742383991096
p7-0035-0061-0654,20,241.0,27,50.33171443226921,50.33171443226921,70.15493553681424,54.70001548364869,47.755638122558594,22.23257939647526,21.62626857678425,14.577832387335087,13.69555748349898
p7-0035-0062-0685,21,244.0,24,50.546006523194855,50.546006523194855,68.42838951638207,56.333234692165576,49.50276565551758,21.501859472604473,21.43294170449992,15.089689362529564,14.176053941097171
p7-0035-0063-0719,22,269.0,25,53.464957113159635,53.464957113159635,73.28138373597514,56.361232735740145,52.04973983764648,25.105269034551046,26.011216714922824,16.07351931835966,15.768795403849234
p7-0035-0061-0749,23,235.0,23,48.136194740457746,48.136194740457746,57.83579636400111,52.73081975223688,48.084190368652344,23.392652854221943,22.34017816908816,15.427114852202125,13.396711735142038
p7-0035-0062-0782,24,241.0,23,48.91271202593918,48.91271202593918,65.30194131722118,53.52409765351652,47.81243515014648,22.496075362819674,22.286654346711412,15.89758637811149,14.86745460671508
p7-0035-0062-0814,25,231.0,23,47.43264739957207,47.43264739957207,60.14096861830781,51.29358684874203,46.78125381469727,23.655425986326126,22.869158633343588,14.886645726347885,13.448464829684337
p7-0035-0061-0845,26,278.0,27,46.46375653040495,46.46375653040495,65.64725052130761,52.56283149078944,45.618896484375,21.51006218522759,20.864029316888228,14.579340215172605,12.905779109644644
p7-0035-0062-0878,27,270.0,26,51.618832213790334,51.618832213790334,65.6099197965415,57.34116426085028,51.48809051513672,21.083266581504013,21.43148260271108,15.467176385875911,14.153576261025886
p7-0035-0062-0910,28,253.0,23,49.393234237851836,49.393234237851836,62.83811348265856,55.68927968995034,49.46844100952149,21.14128095926932,22.063025013260216,16.184154091913744,16.020242933051392
p7-0035-0063-0941,29,244.0,24,55.02407611784388,55.02407611784388,68.54971437187191,59.84232282017901,55.360633850097656,20.175175763800787,21.18827945482536,15.027254431106975,13.898018970352705
p7-0035-0063-0974,30,250.0,23,47.51620676422119,47.51620676422119,63.63139138393819,53.10412699989789,46.95560073852539,22.01603367476009,22.403377683639526,14.908467762950883,14.24160101211071
p7-0035-0063-1006,31,267.0,24,45.156846857249505,45.156846857249505,59.88898622613664,51.508238516147095,46.08037948608398,21.249423245763698,19.402543144726128,15.934838584243053,13.562930522381926
p7-0035-0063-1039,32,265.0,26,59.840586334804314,59.840586334804314,74.74661468304457,65.8339041451381,60.34800338745117,22.887565664158156,26.654855805522992,16.04152354072586,17.20542525660317
p7-0035-0063-1070,33,232.0,21,51.45238611615938,51.45238611615938,62.026170218995865,55.86660063258933,51.11273956298828,24.08117447787991,25.84476682235455,18.589599482671048,17.209078607984402
p7-0035-0063-1102,34,218.0,23,44.471046517748356,44.471046517748356,54.765344251989355,48.85775705775397,44.56563949584961,21.52234356749609,20.24237512667245,18.690227452173982,15.614519740600104
p7-0035-0062-1134,35,243.0,23,52.31072846557869,52.31072846557869,70.2202643051549,59.03037955651632,52.01173782348633,20.69803854044275,22.02744306875355,17.194496827130504,16.421756026798807
p7-0035-0063-1167,36,268.0,24,50.297710653561275,50.297710653561275,64.58332486547376,56.407896141697776,49.82250595092773,22.23596941929473,23.323772645708342,17.162927325610777,16.476307496206086
p7-0035-0064-1197,37,247.0,26,43.98067162394041,43.98067162394041,55.194647586799526,48.12980792481503,44.73193359375,21.68994591602448,19.687372055130936,16.268243856811097,15.16325346639131
p7-0035-0062-1229,38,262.0,24,44.15279624298329,44.15279624298329,57.13584527463674,49.315058436138706,44.16167449951172,21.153329916206186,20.091265332607826,16.466522062336434,14.167487972110283
p7-0035-0063-1263,39,267.0,23,57.27884535485886,57.27884535485886,71.31218800456334,63.10876123721279,57.12898635864258,23.283681313159995,24.177551123086875,17.0425559717631,17.039964150344392
p7-0035-0062-1294,40,249.0,23,47.50997926336694,47.50997926336694,60.28095883618069,52.422841272916564,47.18973922729492,22.174912943108566,20.42679073724402,17.285579614626993,14.234262743747857
p7-0035-0063-1327,41,243.0,24,52.845263610651465,52.845263610651465,67.30846777339907,58.44242064145024,53.66480255126953,24.890557947769803,25.264079694762646,18.494117139246182,17.084393541263452
p7-0035-0062-1359,42,231.0,23,44.40906907779314,44.40906907779314,58.741066439579036,49.60437155307598,44.06035232543945,23.535831513957394,22.784219814069342,17.19164687296101,15.588550065671301
p7-0035-0062-1390,43,266.0,23,49.933667634662825,49.933667634662825,64.10735812470597,55.12931881845884,49.084266662597656,24.251429376151783,23.769711609173537,18.0266324111928,16.69501534681347
p7-0035-0063-1423,44,275.0,27,52.54651621731845,52.54651621731845,66.47785914735334,57.66780810255366,52.27463150024414,25.34785358880113,26.03129471518777,16.38472419193614,16.81120206404816
p7-0035-0063-1454,45,252.0,23,58.730032300192214,58.730032300192214,70.97621148166843,65.45126421628558,59.61531066894531,26.587018547463785,27.296657728770427,17.798493386261903,18.985530083496414
p7-0035-0064-1487,46,271.0,24,52.452225917141234,51.19629485492776,66.35653429186351,56.60388244671979,51.26307678222656,26.67897483810845,25.87496895279832,16.425854365172135,15.442729668107528
p7-0035-0062-1518,47,290.0,25,51.82934484453501,52.327017218491136,63.28608217985176,56.98652237557235,52.55216979980469,25.36461123455395,25.30679345953053,17.30638385406526,17.151736986521502
p7-0035-0064-1550,48,261.0,22,51.271360817406375,50.86093931819286,65.40460081032796,56.1559137495266,50.392799377441406,26.704190247151214,26.88923121503486,18.362654004195445,17.554845311632562
p7-0035-0063-1583,49,244.0,24,54.12484343449153,49.740906465248976,61.820851232782324,55.782606501865594,50.70431518554688,25.8688381056133,24.59238842276276,16.248428008421737,15.092620141385552
p7-0035-0063-1614,50,229.0,21,54.39921072938495,50.197697993449246,64.68598435858053,56.57588440314522,50.38508224487305,27.587293231523965,24.91154837087773,18.011664219985878,16.438179753395406
p7-0035-0062-1647,51,268.0,24,54.49793289444246,51.45265195618814,64.23801566138732,57.275835492509614,51.36384201049805,27.450445791364963,24.85966405761776,20.31342973055317,18.877589792457982
p7-0035-0062-1678,52,280.0,23,54.77333674412756,57.7874409198761,73.30938177954971,64.80730921407036,56.7401008605957,27.017737039083194,27.479664283139364,19.570684601064432,19.42998421500836
p7-0035-0062-1711,53,238.0,23,55.420049990840525,58.611320006747206,77.27577128594788,66.39386501662962,58.45864486694336,29.714306953466068,30.987871099920834,19.17680553830777,20.39326493279273
p7-0035-0062-1743,54,211.0,23,54.699751490129174,57.63296335229376,69.89362046345153,63.183422686745,57.9012451171875,28.717936570782246,28.98874973007853,21.6418780760994,22.681568559312144
p7-0035-0061-1774,55,241.0,23,53.04494350633035,55.098513622996215,68.05508226872108,60.831587026480655,55.43527603149414,26.77497396329637,26.248842263122807,17.391093222839277,17.828720792200556
p7-0035-0060-1808,56,259.0,21,52.21107229711777,49.36584180294317,65.65658320249914,57.00518773795538,49.10823822021485,25.760953181017523,24.02355681054841,17.708377911835008,17.34560947390597
p7-0035-0062-1837,57,230.0,21,55.39044889696957,59.298446373317546,73.30938177954971,65.02196088147544,59.359596252441406,29.08473643555542,30.71796624971473,17.40455793293108,19.18397782056228
p7-0035-0062-1870,58,264.0,24,56.35399314405509,59.91262132471258,73.86000996984968,66.49652450973639,59.61080932617188,29.49691132234993,31.07342632611593,18.88677608176788,20.209822953650445
p7-0035-0061-1902,59,218.0,22,54.54987985559768,50.162848638832024,63.566062615597524,55.8945986761639,50.26945877075195,28.183825753709833,26.50557837792493,19.045038036115084,17.717210210244588
p7-0035-0061-1935,60,246.0,22,58.89327722520041,63.48614444577596,77.91972628816309,71.09753633715827,64.94845581054689,26.818966281709532,29.465756336847946,18.61080965934199,20.188985656916607
p7-0035-0061-1966,61,227.0,21,57.430179726864125,57.72999165236687,76.09052077462418,64.98463015670933,58.70884323120117,29.258642211350008,30.41234269751326,19.57877202413312,20.119593377943076
p7-0035-0062-1997,62,221.0,20,60.65369791160904,56.24466770914346,67.63511161510246,61.400880579163704,56.688392639160156,32.13117675322115,29.90970411343812,22.247801117406276,20.17928658459521
p7-0035-0062-2031,63,252.0,22,53.939880795172215,51.19014646136571,66.08588653730929,58.19977093047059,51.85525512695313,27.77455867348073,25.667211540161613,17.44009495719339,16.674825871747636
p7-0035-0064-2063,64,202.0,22,62.826082619006,64.36704486431461,80.90618426945112,72.00280641273619,64.40873718261719,31.016365364807175,32.345024642377794,21.73386129984461,21.034064413887442
p7-0035-0061-2095,65,231.0,23,61.06246848263808,60.75827338478782,78.45168911608003,68.15774176182786,60.29927444458008,33.87537822294202,34.45593227658953,21.880836467962926,21.42424567850121
p7-0035-0062-2126,66,179.0,19,62.421614679732755,66.24319163913833,82.1940942738816,72.19879271775822,67.94241333007811,34.29559861661221,36.01022726730262,19.865757381211353,21.95605899768169
p7-0035-0062-2158,67,181.0,19,64.57041217245565,68.19534695872944,84.11662659933576,74.98926439402422,69.02131652832031,29.774007449025206,32.604448824297656,20.787956644675592,23.250210722507035
