,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p28-0035-0040-0013,0,361.0,53,15.143781859229042,15.143781859229042,29.814711083024868,21.062111474000282,14.960676193237305,33.78956226893079,33.78956226893079,6.300207135285613,6.300207135285613
p28-0035-0034-0046,1,198.0,28,20.321327628511373,20.321327628511373,28.314945601514765,23.72836121890713,20.293630599975586,35.598456146621174,33.92320755756263,6.459069663842307,6.8973913434328455
p28-0035-0032-0079,2,158.0,27,17.408097997873647,17.408097997873647,29.021184373231158,22.72058229746913,17.131980895996097,34.492021908758346,32.68338616588448,5.527669763925941,6.233396060387545
p28-0035-0032-0110,3,203.0,29,27.843604473057642,27.843604473057642,38.05151833068354,31.63982251555039,27.63772010803223,34.22692469847467,38.78496484803449,6.322677899293939,7.869226588658861
p28-0035-0032-0141,4,157.0,25,21.42782655946768,21.42782655946768,32.266708616287424,25.886753869546016,21.66707992553711,31.80298861334012,31.80669531245141,8.34678638819932,9.350740060744108
p28-0035-0032-0173,5,212.0,29,28.79496939677113,28.79496939677113,37.662690242884615,32.75869517635952,28.83618927001953,31.140882033266788,35.336263710597784,7.192560258081637,9.962035967212802
p28-0035-0032-0205,6,207.0,29,29.362931836630413,29.362931836630413,39.059297252121546,32.465090293735855,29.365619659423828,31.027798121517012,35.45626357442515,8.530131931042034,11.425314612110743
p28-0035-0033-0237,7,156.0,26,25.86408057579627,25.86408057579627,35.742355605183846,30.068639630158852,26.607999801635746,30.734741869324743,29.53252952526777,9.353406580987475,10.246675328184397
p28-0035-0032-0269,8,185.0,28,28.71940672075426,28.71940672075426,43.21737721144057,33.179264332550176,28.32488822937012,31.230298780635966,33.580202571765795,8.293264190181578,10.815175011351302
p28-0035-0032-0301,9,185.0,28,25.629896656242572,25.629896656242572,36.40891804141057,29.449688796519762,25.415508270263672,26.101310048098536,24.61361327300201,11.32098487406029,12.516190960882485
p28-0035-0031-0333,10,210.0,28,35.07478451047625,35.07478451047625,47.1850107604091,40.64635067170896,35.49851989746094,29.93290923631807,33.17059309823173,11.068695395183797,14.643487553227516
p28-0035-0032-0367,11,171.0,27,32.42017853050901,32.42017853050901,40.06707617355956,36.7580697937198,32.60723876953125,29.55482425429804,29.93243760114525,14.616461547496373,16.728113057320574
p28-0035-0030-0397,12,111.0,22,26.729889483065215,26.729889483065215,35.107534237348894,30.67171992960207,27.31633758544922,30.798921868943776,28.583459441726273,14.138894833422913,14.672000401191886
p28-0035-0032-0430,13,108.0,24,30.40520951482985,30.40520951482985,40.20991098132242,35.25036904511175,30.7763671875,30.944263296841246,27.92853966465703,13.2005754773371,13.442656177061574
p28-0035-0033-0462,14,122.0,24,29.497977835233087,29.497977835233087,39.27354946376585,33.607768755838784,28.759340286254886,28.525345599308963,25.9897183433908,13.88678954774938,13.440388162605098
p28-0035-0033-0494,15,122.0,24,31.012198432547148,31.012198432547148,41.61445325765728,36.0518310220034,31.18659973144531,26.34122861486331,23.28422776988295,15.892760857558274,14.516502733266012
p28-0035-0033-0526,16,122.0,24,30.640287696338092,30.640287696338092,40.4400337271626,34.60761241017885,30.72636413574219,25.978394730253186,23.133789343912092,13.87265263639304,13.469554329993295
p28-0035-0030-0558,17,113.0,25,37.564577895983135,37.564577895983135,50.295635462800426,41.46368318279648,36.66302490234375,29.938263088350084,30.714802868598326,18.148496304166585,19.863667896363584
p28-0035-0030-0590,18,116.0,22,32.57010134335222,32.57010134335222,41.78109386671396,37.65475497578669,32.78246307373047,24.587417996656658,22.169904569099693,17.984542463429456,16.69195014443891
p28-0035-0030-0623,19,160.0,30,31.73537400364876,31.73537400364876,41.7890291338119,36.66284658854457,32.273788452148445,23.534712598858942,21.056605094671248,15.91013449735171,15.7528813470155
p28-0035-0028-0654,20,142.0,29,31.221093419572,31.221093419572,41.96360500996651,36.607299718859004,31.04965591430664,22.12454686754918,19.026314419759828,16.473050905136684,14.59703253440454
p28-0035-0029-0687,21,170.0,29,32.773436299492325,32.773436299492325,41.47955371699235,36.686652389838365,32.87430191040039,21.311212022612583,20.063723648295678,17.36093217663606,17.166738457539502
p28-0035-0029-0719,22,148.0,31,36.77555898717932,36.77555898717932,46.42322511900714,40.73363860978627,36.59063720703125,21.899680114820992,21.922270710403854,18.101378944054712,17.43446664874618
p28-0035-0028-0750,23,156.0,31,39.23835701820178,39.23835701820178,47.39132770495547,42.5825558436056,39.40830993652344,21.34385769880062,21.524169206619266,16.18887427937153,16.1790659565192
p28-0035-0029-0783,24,174.0,32,40.189808133004725,40.189808133004725,50.54956400993443,44.018839188332215,40.24137496948242,21.84712659987407,21.464218901491712,17.56359347171676,17.459874658749026
p28-0035-0030-0814,25,174.0,32,37.593411259267526,37.593411259267526,48.018213805692504,41.45574791569854,37.76924133300781,21.22950305760473,20.16274515239672,18.03525777621093,16.490835452901905
p28-0035-0029-0846,26,177.0,30,35.71982178984389,35.71982178984389,44.256897201270334,39.74966548964207,36.56340026855469,20.20525122821143,18.99262813390311,17.283900803958552,15.461545103182225
p28-0035-0020-0878,27,49.0,12,39.97379283515775,39.97379283515775,50.76381622157872,43.8680691134714,39.98585891723633,22.707100719248157,23.43104926907286,17.22785225457811,17.31327163929842
p28-0035-0019-0910,28,75.0,13,42.262080307006826,42.262080307006826,50.32737653119218,45.74079214858457,42.337345123291016,22.607117371015114,23.93551596959432,15.985593683322922,17.09442050298055
p28-0035-0019-0941,29,70.0,13,38.097741426740384,38.097741426740384,45.359899327883575,41.65412959314697,38.239524841308594,21.047461550734415,20.614456544603623,20.56986459772371,19.07822005067553
p28-0035-0020-0971,30,79.0,12,36.31996833221822,36.31996833221822,46.16136130477522,41.71761172993047,36.38844299316406,20.261776631519446,17.853225587289547,13.475757899802751,11.565753310541565
p28-0035-0020-1005,31,48.0,9,46.813985983530685,46.813985983530685,52.501639716026936,49.232309671676866,46.086692810058594,24.557444573233173,26.230718771616623,17.322496102675817,18.040438115596768
p28-0035-0021-1037,32,42.0,10,47.64335287184942,47.64335287184942,53.89824672526386,50.8034925570684,47.68134307861328,25.179264451970543,25.601926849001927,17.957288627755275,17.84831164564405
p28-0035-0018-1069,33,56.0,11,37.46402478218079,37.46402478218079,45.590022073723745,40.93995555433264,37.2381591796875,24.33710946608138,24.360373633248464,18.297456261298862,17.082611820527486
p28-0035-0020-1100,34,56.0,10,43.79294279643467,43.79294279643467,51.620825068155916,47.78015579275439,44.49072647094727,24.919303187894236,26.07832971640996,15.68559198957301,15.60119261273316
p28-0035-0021-1132,35,60.0,10,46.80145524342854,46.80145524342854,56.29469738884086,51.4224433907075,48.03530883789063,23.390663280768383,23.92273618380229,17.133789471493955,17.36844008962313
p28-0035-0020-1166,36,79.0,13,39.39386027372336,39.39386027372336,53.07297894707841,43.804586976687915,38.11148071289063,22.92394860716111,21.006802298883095,17.220019046252272,15.399179871323742
p28-0035-0020-1197,37,54.0,9,47.54542859395346,47.54542859395346,58.04839141748495,52.104876361130074,48.08915710449219,24.99065341595273,26.23692449816951,16.21742521571372,16.894207663006252
p28-0035-0021-1227,38,58.0,11,49.49810337198193,49.49810337198193,62.15885977421635,53.54115970585671,50.26689910888672,23.390894000650214,24.601483460130364,15.501178942620232,15.35793835130231
p28-0035-0020-1259,39,57.0,11,50.59449199208042,50.59449199208042,60.06394926036096,53.57290077424844,51.19006729125977,24.037709734124654,24.202897155494018,12.86617336487263,13.772788579003851
p28-0035-0023-1293,40,49.0,8,79.65091292712154,79.65091292712154,98.7563116299021,90.71788605969185,78.00817108154297,22.317483273065204,22.210848000584818,12.64373681727253,11.769003459385464
p28-0035-0023-1326,41,170.0,16,253.91290381936463,253.91290381936463,376.292278380251,321.03107831021725,242.5429992675781,4.8124526072663985,4.7586016009178245,1.678673174073917,1.6443972371409044
p28-0035-0023-1358,42,162.0,14,212.38325604097344,212.38325604097344,321.7690581503254,256.501486269793,208.14581298828125,5.696846936404151,5.5932798434830735,2.3883311268402525,2.3264699777887192
p28-0035-0024-1390,43,148.0,14,228.28872314659324,228.28872314659324,348.68548414652787,280.28348176231043,219.3290100097656,4.957654633380582,5.1388402437111615,0.7840866866791131,0.7932954728351654
p28-0035-0025-1422,44,165.0,16,223.3695074832801,223.3695074832801,330.0931533360614,264.96048099619395,213.9431610107422,6.677296072147173,6.875348008892527,1.6069634868531024,1.6729264157739552
p28-0035-0025-1454,45,181.0,16,188.33034544886812,188.33034544886812,275.8556027216616,228.86295096767827,184.1658172607422,6.403308667503835,6.028408634839116,0.4240558083964132,0.3964731315387547
p28-0035-0024-1486,46,171.0,15,196.50163480215087,202.5714073404234,297.2728886189937,243.3051370859237,202.2234344482422,6.757224851633358,6.841759907571893,3.6174933664005593,3.6088792612852414
p28-0035-0025-1519,47,161.0,16,195.44742602191812,177.45492155655572,253.4543437041852,211.7307093032321,175.70697021484375,4.570508210415091,4.129243293869663,1.3242231081378217,1.1743088007227789
p28-0035-0024-1550,48,163.0,15,191.18932963516468,193.78799887815137,295.7572526032877,236.94105287337814,191.65382385253903,6.474872836186393,6.442073117473099,0.07090126147353641,0.06954610601433216
p28-0035-0025-1583,49,153.0,15,199.80246640091815,204.4419287388621,292.66249843509223,248.28054955633027,195.2774810791016,7.1175961791762345,7.4381710071774085,2.226452759295322,2.291059796814046
p28-0035-0025-1614,50,165.0,15,188.65336145796041,187.00867351185192,265.13505687234857,214.71436973205644,181.0791015625,6.015027861347304,6.013544418053192,1.6570501708458978,1.6031915370939356
p28-0035-0024-1646,51,149.0,15,182.75120440379604,183.32283998015743,272.6338842798991,229.1803616515957,184.3632049560547,5.093145775981316,5.220293746114202,1.3282285359102584,1.3344143084406652
p28-0035-0025-1678,52,164.0,15,173.86724661457896,178.82072523163586,261.5641866782769,219.15811930690117,178.86956787109375,7.509364052020385,7.6521013703469825,1.270811927894117,1.272011916675582
p28-0035-0025-1711,53,170.0,15,180.92394229101797,193.07876802332265,281.4579012928051,230.9657967486316,191.5855407714844,8.376679734885586,9.260043719323242,2.3158593238590655,2.4260916494134377
p28-0035-0026-1742,54,166.0,16,183.76545712925736,198.88040395529876,286.1000325450983,240.0358070415736,201.358642578125,7.163144923569424,7.791888808539832,1.709997105681792,1.8321732377594182
p28-0035-0025-1774,55,155.0,15,182.36221886464548,167.26974098451674,255.0413971237726,207.57262934391306,163.6685333251953,8.191394980231681,7.687793656390522,2.664116219230315,2.360845863530713
p28-0035-0026-1806,56,164.0,16,181.2181235701269,189.26845089982197,274.5621541846978,228.4344465443896,190.145263671875,10.0958317085957,10.898942331351883,2.630190655414302,2.815236349022243
p28-0035-0025-1839,57,150.0,14,168.2697841509162,156.28750300089519,227.31557388358053,194.36040962584786,155.77520751953125,6.992067134085323,6.565002153341969,0.943677519357079,0.9067654073238371
p28-0035-0026-1870,58,161.0,15,171.03976496077962,185.68546337814809,265.1191863381527,223.7129626211171,178.93167114257812,8.536468291583176,9.236515798530778,1.6781953399419807,1.883548243167978
p28-0035-0025-1903,59,177.0,16,166.1745831816841,178.19537331963662,249.16929947129918,206.3982098134184,180.22882080078125,8.223733449348845,8.838983191850748,2.1067745249885417,2.1976957963095547
p28-0035-0026-1934,60,173.0,15,163.94064625128232,143.24908553106937,203.11300923487246,167.80107064905252,143.58145141601562,10.614773605810038,9.435075805021848,3.262091619012869,2.8827194724328864
p28-0035-0026-1967,61,156.0,14,164.51649576036212,165.8520679473877,224.92705848710145,198.80415920069262,161.75450134277344,7.488900124780744,7.158813467105994,2.3280145622624144,2.199905410313453
p28-0035-0025-1998,62,156.0,14,158.67825937850782,164.47339727939703,248.35196696021168,207.25521865999556,166.0823974609375,8.848748531135401,9.23315942994295,0.744705639361195,0.7656287258156599
p28-0035-0024-2030,63,147.0,14,157.95859632046694,163.37854221888952,249.62160969588157,208.47724979307796,158.89828491210938,10.030870170032895,10.184055573680775,1.4217642605239253,1.3781484903983112
p28-0035-0025-2062,64,156.0,14,161.8627607783573,149.9239663833227,209.06445955832527,182.81459599834943,145.4741973876953,9.780664290561322,8.601993291614912,-0.04363103130772084,-0.03698361331883531
p28-0035-0025-2095,65,158.0,14,159.29495177450028,166.22015709213062,234.21925625878575,205.58881256942882,164.4752655029297,10.390550350540678,10.803130649690388,0.8875851318034127,0.9473095814567768
p28-0035-0025-2126,66,152.0,14,166.0823157695854,178.9280455237941,267.42834906365243,221.05464814330816,175.72840881347656,8.545031084049725,9.072315269689026,3.081249047214649,3.2004940875462795
p28-0035-0025-2158,67,144.0,14,163.41093065696958,171.31026617685953,268.95985561355417,218.95973762945283,168.48048400878906,9.453950171437938,9.687793387100099,2.1712847634994543,2.186975258661227
p28-0035-0025-2190,68,167.0,15,155.5755830173286,168.75760920176248,249.92314984560326,207.3742476664647,168.56468200683594,8.005647374540997,8.44682435370134,3.2080188498090023,3.4206341049929487
p28-0035-0026-2222,69,148.0,14,173.7572511798837,166.7307936694171,243.55906563305766,197.55832226631648,164.00205993652344,11.338325699978942,10.654669565387774,0.9598417394854211,0.9107265221710141
