,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p10-0044-0033-0014,0,302.0,32,19.48343719157162,19.48343719157162,29.404939822185828,23.490288855407954,19.437786102294922,24.863523601264447,24.863523601264447,1.3030725479517626,1.3030725479517626
p10-0044-0033-0046,1,330.0,34,23.623713952844792,23.623713952844792,31.496584580318785,26.752854363309122,23.563159942626953,23.70001489500618,20.79652170700332,3.573889514224561,4.3374597612125925
p10-0044-0036-0078,2,366.0,40,27.576791528795585,27.576791528795585,35.29957504965143,30.856080922325923,27.96499443054199,22.909231209080193,22.309206268582187,3.105154637262781,3.9707866486090695
p10-0044-0026-0110,3,205.0,19,31.721018646984568,31.721018646984568,41.02407649296267,35.17948061377777,31.540889739990234,26.387917204388106,25.70511426227849,2.837295157354454,4.053194223653253
p10-0044-0025-0142,4,171.0,17,34.717342410171234,34.717342410171234,44.82706696229532,39.39279373901209,34.63641357421875,27.34099577688815,28.258712723938345,5.92577411494384,9.27361837042222
p10-0044-0027-0175,5,186.0,18,30.121767987487136,30.121767987487136,38.03172346577725,33.287993248767584,29.965858459472656,24.00206321941359,22.78934756145682,6.701411033346877,9.22023416590947
p10-0044-0027-0207,6,181.0,18,31.53325315865364,31.53325315865364,40.473643661875045,34.87924452409361,31.58051300048828,23.17724643261488,21.15918163667068,8.2602036179827,10.804589439821507
p10-0044-0026-0239,7,200.0,18,34.03573092460633,34.03573092460633,45.217373878884715,37.78152672437378,33.48572540283203,27.05354552941887,24.9704184615612,11.567485083087762,14.342882959991693
p10-0044-0027-0271,8,184.0,17,33.37058650928995,33.37058650928995,42.305083808948396,36.460487929763495,33.212413787841804,24.162849015769325,22.699325188346528,12.466252979144912,15.716421758918012
p10-0044-0027-0303,9,206.0,20,38.69101041034588,38.69101041034588,46.65850710936867,42.06489493720108,38.60266494750977,24.37018833988472,22.98555376575989,14.968957887536543,19.17180258556477
p10-0044-0027-0334,10,229.0,23,35.295947620441815,35.295947620441815,46.18813723553016,38.402014643054386,34.998153686523445,22.082161328157746,21.349927835524344,15.836138759523118,18.554102849752105
p10-0044-0027-0367,11,233.0,22,31.60434882528281,31.60434882528281,39.92321083078743,34.73913434890767,31.512807846069336,22.224040030877536,19.031211781399445,14.450150127541663,15.404886691867025
p10-0044-0027-0399,12,207.0,21,39.910831958199466,39.910831958199466,48.31981347228768,43.10571338143949,39.95993041992188,22.723117612765535,22.3590763496316,18.17597562201812,21.08573245541485
p10-0044-0028-0431,13,198.0,20,35.761448946866125,35.761448946866125,47.7293491625755,39.72305343766465,34.56123733520508,25.828085992268843,23.08486556043529,20.699709527747242,21.121314164363977
p10-0044-0026-0462,14,195.0,19,36.97378276922764,36.97378276922764,45.71776736169165,40.79389549087149,37.44515609741211,21.43744854233133,21.030700687261728,21.219814853060022,22.468427398877267
p10-0044-0027-0494,15,205.0,20,40.34449996948242,40.34449996948242,48.740143997845486,44.28664200086385,40.50395584106445,23.516851845562282,22.181288198145428,23.873034890913075,25.823235923487967
p10-0044-0028-0527,16,210.0,19,40.58584128788539,40.58584128788539,49.6508601365541,43.99641378083581,40.9287338256836,20.357914419092648,19.540985482257035,21.584598481550334,22.097594874245782
p10-0044-0032-0559,17,255.0,24,39.872819982790475,39.872819982790475,47.799404250168465,43.486012428372746,40.42452621459961,20.689356932594553,19.988977952096977,20.74910870760045,20.385651018105303
p10-0044-0026-0590,18,218.0,19,37.66144446276744,37.66144446276744,47.6292704660141,42.02486345857653,37.5536003112793,20.054177257623188,20.600187129383787,22.90785652394133,23.87664050027865
p10-0044-0026-0623,19,234.0,22,38.381192680098046,38.381192680098046,47.44912881220361,41.804690326141476,38.90407943725586,17.26264596879218,17.004517438574734,21.040704665407482,20.195140029375374
p10-0044-0026-0655,20,200.0,19,39.259559907913214,39.259559907913214,49.71090735449092,43.40594947112364,39.05015563964844,22.245931978783346,22.23317927837372,24.335733076425498,23.09986641705036
p10-0044-0028-0686,21,223.0,21,39.66674896206022,39.66674896206022,50.2513323159224,43.43597308009206,39.65760803222656,19.373741162375943,18.993395577899012,26.15488925515905,24.743994224231876
