,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p27-0023-0086-0877,27,233.0,27,44.560109953000314,44.560109953000314,53.96156510283019,48.585099440085905,44.74093246459961,17.61094031094532,18.172412903012127,17.28216604203893,17.367854726161056
p27-0023-0086-0909,28,337.0,35,43.79940621576961,43.79940621576961,55.284294109209135,48.03231716876336,43.641258239746094,17.393976626556082,18.416050064546067,15.46714106112937,16.540005865012148
p27-0023-0096-0942,29,141.0,15,44.410930606490325,44.410930606490325,55.57384672752096,48.92729798899986,44.93737411499024,14.794849918046166,14.490478577871695,17.756498115361886,16.468867685777926
p27-0023-0099-0974,30,127.0,14,38.581979526309524,38.581979526309524,49.40769210574446,44.13651830420447,39.30295181274414,16.835933323611165,14.83461796392606,17.01029701665916,14.599319793107938
p27-0023-0095-1007,31,157.0,14,52.38960783648643,52.38960783648643,63.14827999290489,57.09399797365795,52.14883422851562,15.282889771108245,16.324222270280693,16.537329064676083,17.222729323775905
p27-0023-0097-1038,32,103.0,14,47.31312327709013,47.31312327709013,60.98979683821685,53.566720623314076,47.44106674194336,16.76099948187078,17.042351791870242,16.565539066500207,16.465008162757726
p27-0023-0097-1070,33,99.0,13,43.42729057928528,43.42729057928528,54.06027622270922,48.657487594663856,43.80514144897461,18.095796721257983,18.11309473442309,19.266627739912735,17.98743596221461
p27-0023-0095-1103,34,117.0,13,44.41468618670081,44.41468618670081,54.07343770535975,47.79541048105371,43.94390106201172,18.28873397140677,19.13936481312809,15.946829055114296,15.861024041461132
p27-0023-0098-1134,35,148.0,14,48.09242073265282,48.09242073265282,60.48307975617118,55.086871869451095,48.29055786132813,17.692919485012457,18.09538447373622,17.213185739752106,17.448923705397426
p27-0023-0095-1167,36,166.0,18,40.309955355632745,40.309955355632745,50.072346979596574,45.347374708053856,40.80539321899414,18.910242447628335,17.328765272016984,16.99888525778138,15.201428697231306
p27-0023-0095-1198,37,92.0,12,51.17916258521703,51.17916258521703,64.55655863651232,55.46855486631665,51.60332489013672,20.107683880278238,21.110443773476973,18.31733573535078,19.081751241632126
p27-0023-0097-1231,38,76.0,10,52.926713140387285,52.926713140387285,60.71998644388084,55.8568186045075,53.555152893066406,20.810538322203126,21.887582164061694,18.135074727047407,17.967495290856608
p27-0023-0096-1262,39,69.0,13,52.45133480127307,52.45133480127307,63.194345182181756,57.528326901125666,52.0657844543457,22.9777568828756,23.13566029590109,19.35119346574735,20.714775776517566
p27-0023-0095-1294,40,78.0,12,54.35961840702937,54.35961840702937,65.23437499301497,58.00872101787026,54.72541809082031,24.7594568949868,24.64115361678295,16.28099734745255,15.154626901333149
p27-0023-0094-1325,41,72.0,11,48.681106064054696,48.681106064054696,57.462519487872974,53.816788793674284,49.254432678222656,20.53132677072657,20.3015826675627,16.669691898215177,16.329322303334873
p27-0023-0096-1357,42,92.0,14,49.04279086900794,49.04279086900794,59.476226333405116,54.507766632827476,49.05933380126953,24.154237638139687,23.71512031555176,17.7253654054234,17.26625340917836
p27-0023-0093-1389,43,104.0,17,60.40282817987296,60.40282817987296,72.17705709117314,66.43206991421381,60.59017944335938,22.627197114414592,23.454145101400517,16.16151979717031,16.351330416706894
p27-0023-0093-1422,44,69.0,10,94.9508136804553,94.9508136804553,114.0897985918076,105.71251488474093,97.36463165283205,19.579661217648358,20.16040374921716,15.431465687717566,16.064899292545043
p27-0023-0097-1453,45,67.0,11,183.41231810156975,183.41231810156975,236.50474872445042,210.30681750855686,188.1810607910156,14.231479125582036,13.398256448667441,15.160500275432751,14.174386721938404
p27-0023-0095-1485,46,91.0,14,172.2613464958956,177.5823566311008,226.9692545441365,201.0608759465548,179.1460418701172,16.19570431442069,16.39831778374347,12.708885501202523,12.678622646646184
p27-0023-0096-1516,47,59.0,11,190.01989184729854,172.52703547073622,212.57717326577446,198.6654861041571,184.32492065429688,15.529960883046048,14.030603136046462,11.895478618977576,10.548800383583972
p27-0023-0098-1550,48,95.0,14,170.31685916583592,172.63182718377362,235.08330859819245,214.71591419648675,174.39923095703125,16.273467464019788,16.191031072014262,13.371531955731966,13.115958159848265
p27-0023-0094-1581,49,129.0,14,183.27003153267688,187.5256066728932,238.86723486022183,210.1225567514494,186.1166839599609,9.963617352268711,10.412376292585936,8.043729653383998,8.277141991165257
