,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p18-0020-0035-0012,0,343.0,39,16.765986181382882,16.765986181382882,26.170785165395145,21.21817460325332,16.686437606811527,38.40202633493496,38.40202633493496,3.5014876922044045,3.5014876922044045
p18-0020-0034-0044,1,321.0,39,19.181536845329024,19.181536845329024,29.33645070356045,22.774049149991498,18.927141189575195,37.02431193305509,33.502077643373674,0.12395999023476904,0.11716821425118573
p18-0020-0035-0076,2,308.0,37,21.613330577875107,21.613330577875107,28.73566746274075,25.01543277920343,21.116928100585934,39.6802436799282,37.9168977613573,3.5686897294191327,4.295622777544542
p18-0020-0034-0107,3,329.0,39,26.192651310952602,26.192651310952602,33.480314595368064,29.020654384668042,26.43663024902344,39.40399021426389,41.847641066577296,2.6780408039335915,3.42466034122253
p18-0020-0035-0140,4,356.0,41,28.21755986267261,28.21755986267261,37.724309027312295,32.194022272074626,28.090229034423828,35.4496789314559,34.77185403630975,1.341937315599467,1.7172181717855228
p18-0020-0034-0173,5,360.0,41,41.54601997269525,41.54601997269525,51.388276581339646,45.60381230113979,41.35710144042969,34.5495093080188,39.11258932484521,2.3925003440959833,3.4585947100642236
p18-0020-0035-0205,6,333.0,36,48.92382210510986,48.92382210510986,59.082923473376475,53.60655316282775,48.65338134765625,34.53837609643105,37.643738838287454,2.793336916686683,3.787028184602479
p18-0020-0034-0237,7,290.0,36,48.538601138673975,48.538601138673975,58.75172245600153,52.45890312587731,48.4078598022461,38.05270176239382,35.18004566718792,2.146641462678817,2.4970470026938307
p18-0020-0036-0270,8,350.0,38,55.43902300153461,55.43902300153461,69.43488085365425,61.74023396161744,55.29619216918945,35.94684462925068,38.02685301099505,2.649470541291224,3.4634463452654227
p18-0020-0035-0301,9,328.0,39,53.141808521456845,53.141808521456845,66.93161735023887,58.212558009112065,53.53866577148438,37.3296046971685,33.78434765048144,3.5188255828453183,4.083656867312993
p18-0020-0036-0333,10,342.0,37,62.86251947057178,62.86251947057178,76.69049383893822,69.75837952178793,63.278099060058594,37.45629008523044,38.93516469141196,2.41647938515505,3.077956200487453
p18-0020-0035-0365,11,341.0,36,68.25409582143655,68.25409582143655,86.28762099357074,76.02038945494704,68.66133880615234,38.71267049301872,38.737816371526186,1.221891615409454,1.4370543519615349
p18-0020-0034-0395,12,275.0,35,67.73028995860707,67.73028995860707,86.00263407164344,75.16542868916517,67.20321655273439,39.02410394053808,35.524496154785155,2.406095958076581,2.4216861718120475
p18-0020-0035-0427,13,286.0,36,73.95073714623084,73.95073714623084,90.37756844068943,83.86908333180942,76.30235290527344,39.10941255703394,36.00924569243317,1.8359902278325682,2.0360909849602957
p18-0020-0034-0458,14,271.0,33,78.34115113543409,78.34115113543409,99.28148416360693,89.51490532566628,80.89593505859375,40.653644524533625,35.38054502142312,3.280343870985116,3.1906121376578818
p18-0020-0035-0491,15,295.0,37,81.0986533730717,81.0986533730717,106.57560889509728,94.37508769691277,81.42939758300781,38.53907314499161,33.20321922948805,3.7395130220945942,3.6609509345593914
p18-0020-0034-0523,16,294.0,33,102.52615839121292,102.52615839121292,133.10249968205906,119.10733111065676,104.37162017822266,42.59076414945175,40.57287986262315,4.914902404646028,5.4088444306838275
p18-0020-0035-0555,17,277.0,32,106.89163523374481,106.89163523374481,140.273386825689,126.8404897489,107.66622161865234,38.123866431274124,37.62329378369053,4.0298682257070215,4.421110038771647
p18-0020-0036-0587,18,279.0,34,112.885439732596,112.885439732596,154.2300436508849,137.04610249359345,114.8931655883789,40.17483147498965,37.30237662749479,5.011007779030195,5.144386040821244
p18-0020-0035-0620,19,250.0,30,120.46067092895508,120.46067092895508,157.90406423897457,139.9498881575553,123.30670166015624,40.396903868051126,36.667507881164546,3.911198186816151,3.690487418532372
p18-0020-0032-0651,20,275.0,31,126.44174514770508,126.44174514770508,169.65784918116498,151.51881671795505,128.30928039550778,38.3096411061572,37.53253107244319,4.82358982444799,4.97257578863339
p18-0020-0034-0683,21,252.0,30,148.4067344665527,148.4067344665527,201.1989693241988,177.0983185482396,151.13064575195312,38.324258273017335,37.48494755275666,4.49804448777984,4.6351850360691085
p18-0020-0033-0715,22,368.0,41,137.9739072944807,137.9739072944807,217.8514483838421,187.04205141872964,138.00057983398438,29.80905647143811,31.137652267580446,5.788866424715799,6.118857379352328
p18-0020-0033-0747,23,312.0,38,139.4487094390087,139.4487094390087,201.10654113330344,173.21633453063546,137.51200866699222,29.26029351729581,29.343344462223538,3.120940369842859,3.210638525030122
p18-0020-0035-0780,24,319.0,38,130.33607097852942,130.33607097852942,177.7684229322308,155.95536988093122,133.59846496582028,28.880602463720916,29.09779999472878,2.454020804270042,2.3785368045062105
p18-0020-0034-0813,25,291.0,37,116.73511852513474,116.73511852513474,157.06450817167524,136.69949677773596,118.2903060913086,30.120248326404926,28.971566429662538,3.024945568176086,2.916865077855456
p18-0020-0034-0844,26,269.0,33,114.04260312048477,114.04260312048477,152.79740669200717,137.1847447799365,116.12232971191406,30.165411349004092,29.13195215104681,3.1296507717926496,2.94898445504721
p18-0020-0033-0876,27,291.0,34,109.91486691609279,109.91486691609279,146.55080145733064,129.6441448727252,109.08776092529295,29.282342922636076,30.933272263438436,4.669485200590877,4.8183096336181634
p18-0020-0033-0909,28,292.0,33,95.01431062776749,95.01431062776749,123.38983728880736,109.77208383022769,95.949462890625,27.782996737845576,28.883907252795076,1.8660694789367565,1.7986264077106118
p18-0020-0033-0940,29,271.0,33,87.43178230370104,87.43178230370104,112.87613057446276,99.36621000526094,87.0409164428711,29.21077308778965,32.422266161309835,3.630519702349103,3.6256597717034866
p18-0020-0032-0973,30,261.0,34,72.99431737263997,72.99431737263997,91.42508793750324,81.52756916246086,72.75103759765625,27.882929687248478,26.599259215753197,2.355147645545016,2.097858990467657
p18-0020-0033-1004,31,255.0,31,75.04715297923369,75.04715297923369,95.45341659069167,83.36843063112634,74.38567352294922,29.612034041519394,33.081552105323944,4.469267317964039,4.361802814228862
p18-0020-0031-1036,32,296.0,34,63.25522272006886,63.25522272006886,78.40041537050196,69.25772682110485,62.79180145263672,31.601591806854028,35.34494635865495,3.8043595104025667,3.724895362531439
p18-0020-0031-1068,33,296.0,34,27.30505343385645,27.30505343385645,35.259557270103315,30.62274302685389,27.479236602783203,12.79488818604708,13.463149788613254,1.7124065272595395,1.6245023176023683
p18-0020-0031-1100,34,296.0,34,23.48257419547519,23.48257419547519,31.69336957139155,27.010341232694454,23.350383758544922,10.989983842544534,11.428634150608168,-0.29096376097817495,-0.2768635472795624
p18-0020-0031-1132,35,296.0,34,25.774279478433968,25.774279478433968,33.75759916805408,29.33645070356045,25.84960174560547,12.422518477049406,13.02735016454716,-0.2084757065232317,-0.200675176346448
p18-0020-0031-1164,36,296.0,34,23.49199862415726,23.49199862415726,31.277442712362518,26.440367388839874,23.75458335876465,13.509860089193312,12.28454325061191,-1.3971867888895202,-1.2341218338917463
p18-0020-0031-1196,37,296.0,34,25.501902283848942,25.501902283848942,34.620262283077224,28.997547336944212,25.649986267089844,12.845712794339615,12.896671850334954,1.9188721865576064,1.9054795425578737
