,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p3-0032-0053-0015,0,72.0,15,15.052842825237247,15.052842825237247,28.476372079462887,20.249101538296888,14.918558120727539,24.54789309369193,24.54789309369193,5.948180483958115,5.948180483958115
p3-0032-0051-0047,1,98.0,16,21.293658704173808,21.293658704173808,30.43564135061846,25.172180681497125,21.409008026123047,26.809877510142872,28.333056449890137,8.085829339469173,12.372876757109651
p3-0032-0052-0078,2,96.0,17,25.288992881774906,25.288992881774906,32.32849471427724,28.210708449475693,26.03406524658203,25.493316084358327,27.386839340130486,9.292581602908765,14.452380417729726
p3-0032-0045-0113,3,84.0,11,28.56131054106213,28.56131054106213,37.484029533716274,31.664335639309243,27.93106460571289,18.978478959101608,19.574852719193405,6.474626089410959,10.698730031649273
p3-0032-0048-0143,4,95.0,13,29.52171420047158,29.52171420047158,38.93687751020876,32.62736629801284,29.89333152770996,21.58420198922337,23.488154722514906,8.939565312987028,16.080158946388647
p3-0032-0051-0174,5,131.0,17,28.856071712406536,28.856071712406536,37.874222990259966,32.68548021707253,28.271093368530273,17.358039437851133,16.30100855163035,8.486730499249763,12.843824865253827
p3-0032-0051-0205,6,163.0,18,27.914624190769313,27.914624190769313,37.85761901338577,32.85982197425163,28.18949317932129,16.405167576170417,16.03911993072077,9.504980413123958,13.217613928157126
p3-0032-0049-0239,7,122.0,15,35.45404137158003,35.45404137158003,44.25845209838979,40.11575986827694,36.05384063720703,19.869465387321085,21.065107480424352,13.101660424990884,19.327498944079288
p3-0032-0050-0271,8,112.0,18,30.83652949333191,30.83652949333191,38.33913434273757,34.35417989292961,31.27917289733887,18.60539213677591,16.847864367067814,13.879548950531664,17.329367228916713
p3-0032-0050-0304,9,156.0,20,36.09505782983242,36.09505782983242,43.55278308123629,38.92027353333456,35.93816375732422,18.836503407045367,19.964992300058018,15.900127657891586,21.88128104576698
p3-0032-0053-0335,10,157.0,20,34.05112680811791,34.05112680811791,41.950499312876026,37.21836590372908,34.01853179931641,15.510639079280294,14.915063813993125,16.992780086870976,22.002825603363625
p3-0032-0050-0367,11,160.0,20,29.40096475481987,29.40096475481987,41.28634023790803,34.511917673234514,28.969491958618164,18.18546017007583,16.33348007053137,16.116630576565132,19.11628141729161
p3-0032-0049-0399,12,162.0,21,34.51894658288838,34.51894658288838,42.714282249089216,38.82064967208936,35.281593322753906,16.70498078766772,15.998450585353522,17.466481002584036,21.73570248521405
p3-0032-0052-0431,13,120.0,17,36.00288221041362,36.00288221041362,46.39206312672447,40.231987706396346,35.586917877197266,16.90749537775831,15.735921448469162,20.00637227754749,23.538768188158674
p3-0032-0051-0463,14,143.0,17,33.957350150688555,33.957350150688555,42.76409417971181,37.31798976497428,33.760520935058594,17.846856609495436,16.882598430126702,20.76578435257133,23.91501947549673
