,timeIndex,cell_area,length,RFP_corrected_smoothed,RFP_corrected,RFP_h5_corrected,RFP_h25_corrected,RFP_h50_corrected,CFP_corrected_smoothed,CFP_corrected,YFP_corrected_smoothed,YFP_corrected
p3-0023-0051-0014,0,130.0,22,12.614194845236266,12.614194845236266,22.164845817567667,16.66420121982022,12.93559455871582,30.234482115965623,30.234482115965623,1.2918655128576435,1.2918655128576435
p3-0023-0053-0046,1,164.0,22,22.219768794571486,22.219768794571486,30.675277082007113,25.669141044101558,21.80427360534668,29.246996979690564,30.908638657593144,3.016728675295573,4.616176095490184
p3-0023-0056-0078,2,152.0,23,27.342331246325845,27.342331246325845,34.13073195695168,30.66917203805845,27.39026069641113,29.610936569902172,31.81029725074768,3.794013533035249,5.900677468603183
p3-0023-0055-0110,3,153.0,22,27.516643561568923,27.516643561568923,35.24795499955743,30.321184532984525,27.38778305053711,29.951298112915925,30.89247829462189,4.822286523364874,7.968389361220247
p3-0023-0057-0143,4,164.0,24,30.63236354037029,30.63236354037029,39.42991010439317,34.01473612192704,30.86280059814453,31.090538319874327,33.833049506675906,6.094635615366676,10.962804787951274
p3-0023-0057-0173,5,159.0,26,27.43882768858904,27.43882768858904,36.011085493140605,30.943899015748386,27.72709083557129,29.5345149151613,27.735988383023248,4.377423686053929,6.624796579750079
p3-0023-0057-0206,6,141.0,23,27.27188997742132,27.27188997742132,37.03673287651637,30.54096611513648,27.527606964111328,27.851992065045117,27.23053202392361,6.616150936568429,9.200411254843921
p3-0023-0059-0238,7,205.0,29,33.3946624197611,33.3946624197611,43.75228122004821,37.12830853574635,33.446800231933594,28.236031134157976,29.935130063498892,5.937285126743066,8.758651063718446
p3-0023-0060-0270,8,149.0,27,30.693458736342873,30.693458736342873,37.3664052497443,33.68506374869911,31.23892974853516,31.238241004645264,28.28737194266095,7.206852720375149,8.998145242415417
p3-0023-0061-0301,9,230.0,31,35.80001841835354,35.80001841835354,44.240684735941436,39.52148576362315,36.117897033691406,29.982237023425643,31.77846325169439,8.165977707445842,11.237774757198665
p3-0023-0062-0333,10,196.0,32,32.78911239273694,32.78911239273694,42.40917155134184,36.75590085487777,32.520782470703125,28.66519639534525,27.56451434991797,8.380108766502973,10.850847876801785
p3-0023-0054-0366,11,76.0,14,29.59271664368479,29.59271664368479,40.785229860996864,33.31876111177919,28.78533744812012,33.27616351610011,29.887368729240016,8.601075043542323,10.201919702911065
p3-0023-0054-0398,12,117.0,16,34.00984164180919,34.00984164180919,42.818209495902416,38.44089298470938,34.09023284912109,28.616279862783852,27.405966228908962,8.960016172779996,11.150056257207167
p3-0023-0055-0429,13,91.0,14,35.663346007630075,35.663346007630075,47.32373193001742,39.454330280187826,35.54729461669922,29.3795455491693,27.343743743477287,10.8861469811294,12.808243628386615
p3-0023-0055-0461,14,100.0,14,34.63253270149231,34.63253270149231,42.78157923221042,38.02574999620015,34.89801025390625,28.80539688906052,27.249053373336796,9.945209777751918,11.45345061302185
p3-0023-0053-0494,15,90.0,13,34.18106852637397,34.18106852637397,44.96718496583261,37.72049779876689,34.77790069580078,29.901138274874548,30.514946386549212,13.117969836906084,15.050191071298388
p3-0023-0055-0527,16,102.0,15,36.983814370398434,36.983814370398434,47.87929092934596,41.49341495904205,36.2828369140625,28.74811149872627,28.35592783198637,13.237232506809999,13.826196396467733
p3-0023-0053-0557,17,94.0,15,36.653401313944066,36.653401313944066,44.88781939449996,39.912208576337726,36.455482482910156,29.26184337700046,27.13417582816266,14.204728277897031,14.751404490876705
p3-0023-0054-0589,18,119.0,16,34.581119425156544,34.581119425156544,43.38597858312829,37.97690964461083,34.181228637695305,28.687134684369532,26.76288204032834,12.44865528429653,12.281588512809336
p3-0023-0053-0622,19,93.0,13,36.848805314751075,36.848805314751075,44.631407548656014,39.771792565518425,37.39854431152344,29.799835925432575,29.517213390719505,15.815888715890754,15.46517054496273
p3-0023-0053-0654,20,90.0,13,36.043641344706224,36.043641344706224,43.61186520922891,38.837720841372644,36.26653289794922,29.59471519061643,28.787629530164928,15.276322377222527,14.351773685879175
p3-0023-0053-0686,21,102.0,16,36.26175381155575,36.26175381155575,47.110055391814136,41.22479302530078,36.73986053466797,26.553140195872,26.468032060884962,15.558777138154321,14.616739859183632
p3-0023-0055-0718,22,110.0,14,40.85269203186035,40.85269203186035,51.1821197055739,45.50442883331515,40.45924377441406,26.855937731580454,27.825059968774966,17.227740836545863,16.90113503716209
