,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h
17-11-AH,48.68,54.49,61.07,60.78,66.66,70.46,75.58,81.98,94.23,152.53,234.8,185.16,158.37,124.74,97.98,106.63,86.55,89.15,79.37,89.37,76.93,85.52,76.43,87.07,86.1,86.45,91.62,91.87,82.77,78.98,82.9,79.98,84.33,79.81,99.89,100.38,99.24,100.67,96.63,97.62,94.56,98.01,96.22,93.11,94.59
28-07-A,37.33,38.36,41.69,43.43,43.61,40.79,36.81,41.82,44.37,43.34,44.37,140.27,200.65,190.97,204.3,212.01,191.05,204.38,213.65,207.12,198.06,202.18,199.59,208.52,224.3,209.57,211.63,211.48,210.19,216.96,212.47,216.37,198.33,213.0,213.44,205.43,218.64,202.88,211.77,206.4,211.9,200.37,207.92,206.07,212.22
23-05-AT,34.72,37.98,38.09,41.12,41.9,40.15,49.81,81.81,90.86,107.37,105.25,149.41,164.54,157.08,191.43,218.56,200.47,201.16,188.68,187.37,160.86,173.37,169.61,179.32,172.29,167.95,175.48,160.05,162.45,159.25,159.84,156.41,155.85,153.41,151.36,135.23,147.25,148.23,142.1,146.19,151.69,150.35,148.29,149.1,140.68
14-08-AT,44.98,46.03,45.69,41.57,40.27,40.36,44.04,46.19,41.42,43.76,42.02,62.18,193.9,181.59,146.38,157.3,151.51,144.59,129.54,144.02,122.78,145.31,120.49,139.18,136.16,139.23,133.88,127.23,129.69,129.04,131.88,127.85,131.01,126.46,125.55,126.36,128.77,124.29,120.47,128.89,127.28,121.86,120.93,118.69,121.46
11-01-A,74.15,78.44,86.75,79.63,86.09,85.99,89.35,92.09,93.18,94.95,86.67,88.92,108.88,110.12,100.04,176.34,142.75,133.46,123.75,127.99,123.67,169.08,135.68,157.0,156.85,148.25,143.21,146.69,150.06,141.93,139.14,143.15,144.09,138.89,133.57,138.18,144.35,136.41,140.22,144.03,129.56,137.4,143.32,131.01,132.55
24-14-A,74.32,89.35,93.59,98.7,106.47,100.34,100.55,99.9,110.92,114.49,105.98,138.35,175.01,252.7,271.15,287.43,243.12,283.07,266.89,286.52,272.08,262.75,264.17,288.15,277.17,273.69,266.81,282.19,281.06,286.72,280.03,274.1,282.56,258.64,268.62,277.36,276.26,269.61,261.62,281.14,268.19,262.24,269.23,259.33,256.02
01-05-AT,52.45,50.64,53.95,49.29,47.26,54.66,51.03,52.17,59.4,69.78,70.82,72.03,88.36,94.16,84.36,100.9,100.01,93.87,103.1,112.75,117.78,114.44,134.61,125.96,33.05,30.93,31.2,29.92,30.36,30.4,31.04,28.5,29.27,29.14,27.84,32.11,30.62,31.54,29.81,31.35,31.27,33.24,30.29,35.34,31.35
04-11-A,38.74,40.2,39.96,36.52,37.23,37.42,34.74,40.97,45.56,49.08,59.17,61.74,86.7,89.3,84.23,95.6,95.99,103.67,139.89,144.13,110.91,120.6,95.58,90.04,79.29,75.7,71.22,68.96,67.01,64.0,62.26,59.29,60.28,59.9,59.01,58.06,57.7,55.39,54.61,57.6,55.57,57.31,53.89,56.6,52.35
20-13-AT,45.61,49.37,49.17,45.06,46.72,40.85,42.48,47.67,44.01,49.46,39.87,50.68,50.58,83.81,193.09,190.87,171.85,175.36,177.69,171.8,145.93,175.0,136.51,167.85,159.09,150.43,151.08,151.81,150.79,154.86,149.43,146.82,144.68,141.73,143.16,153.5,142.55,143.31,142.98,138.61,134.31,135.18,131.11,130.79,137.39
04-13-AH,54.9,58.6,58.65,52.63,53.08,53.53,52.12,55.67,57.31,57.08,56.18,49.67,61.45,58.83,61.84,252.82,250.02,223.12,230.47,262.57,205.85,242.5,237.63,232.69,235.6,239.14,241.37,244.66,252.28,236.86,230.13,226.85,237.29,236.14,235.81,236.49,229.27,232.82,226.71,227.84,230.73,236.2,208.88,207.39,221.09
13-09-AT,51.71,50.56,52.73,44.26,44.86,46.32,50.74,60.69,62.82,66.51,61.4,72.99,84.97,92.18,95.07,217.17,195.95,186.23,162.11,189.44,165.72,191.81,158.35,186.76,192.52,180.62,183.05,169.93,203.67,253.0,255.12,253.11,249.2,241.67,248.54,244.52,260.94,251.44,240.82,246.09,250.91,252.03,249.43,238.25,239.91
18-18-A,65.29,73.07,73.77,68.06,67.63,64.28,67.34,71.2,68.67,71.71,60.04,71.5,74.61,78.92,165.05,355.88,325.29,350.67,324.87,340.84,284.69,339.41,272.71,330.11,315.58,315.73,296.87,311.24,307.97,298.51,300.26,281.52,287.44,279.3,270.26,289.39,276.38,263.69,272.71,285.8,260.72,275.09,256.26,250.4,273.51
23-09-BH,35.28,39.38,36.91,37.79,38.27,34.71,35.85,37.98,40.25,40.1,36.95,42.62,44.31,49.43,63.3,167.58,114.11,109.7,97.21,96.16,85.0,92.56,82.48,89.83,87.93,85.41,89.97,82.94,91.38,86.33,83.48,79.56,80.69,79.72,76.72,69.31,73.29,74.21,70.35,71.25,74.68,69.55,70.28,69.3,65.82
21-03-AT,44.95,46.97,44.38,46.74,45.01,42.07,40.26,47.36,45.51,44.72,39.24,43.94,46.51,45.5,50.6,178.83,162.54,175.65,172.81,184.57,146.58,180.79,150.83,173.69,162.75,169.97,162.11,169.05,166.12,169.03,164.72,168.02,166.36,168.95,165.45,166.97,173.31,163.69,159.18,164.18,166.83,156.77,158.66,151.32,152.56
22-12-A,38.9,32.04,35.83,35.78,35.25,34.49,32.99,40.75,39.98,39.77,34.61,43.76,42.56,42.38,48.69,196.58,205.5,227.21,216.93,225.66,189.47,234.78,196.18,220.69,208.4,211.86,221.8,214.81,215.22,212.37,213.29,209.2,213.59,214.92,212.51,199.51,208.94,202.46,209.92,203.6,199.95,200.56,204.39,204.69,187.1
16-14-AH,46.3,47.4,46.42,42.97,42.46,46.22,41.91,47.73,47.12,47.03,39.55,50.5,53.13,52.8,53.28,206.42,186.76,188.21,160.97,183.59,152.46,173.45,152.56,180.26,172.69,179.33,178.15,171.03,171.69,171.7,172.88,165.02,162.98,160.54,159.79,155.95,161.05,157.92,161.83,163.2,158.08,161.57,156.26,154.24,160.86
10-01-AH,53.78,55.13,53.82,47.12,50.62,45.44,48.58,56.63,63.83,68.18,66.13,69.36,82.85,95.28,96.19,129.92,182.68,226.05,197.88,223.59,195.78,228.12,188.68,231.19,219.63,223.14,234.17,227.69,217.18,220.56,216.81,219.7,209.37,202.57,206.27,194.71,185.2,210.24,197.87,196.25,200.9,199.26,196.88,205.12,201.66
20-04-AH,42.95,45.07,47.56,44.45,45.73,38.26,39.76,44.45,43.14,46.68,38.25,47.76,50.09,55.09,71.17,96.27,168.29,176.49,196.82,186.32,160.81,185.26,155.06,186.36,172.72,161.32,160.55,165.67,161.76,156.69,159.03,159.81,152.97,152.25,151.61,158.32,136.43,141.38,134.56,135.59,135.06,136.51,131.93,134.52,143.32
11-02-AH,44.75,44.03,45.5,39.38,41.36,41.14,41.87,39.25,37.97,41.38,35.92,34.95,40.1,42.47,35.71,39.6,177.62,128.3,94.74,92.59,82.57,93.24,78.42,91.91,95.48,86.09,91.94,89.19,89.16,89.38,88.83,89.68,85.64,85.95,87.23,87.14,86.83,89.07,93.38,89.09,86.09,85.83,90.06,81.28,88.44
16-13-A,59.39,62.72,62.5,56.85,56.7,60.11,57.16,61.48,61.72,60.9,53.39,59.18,61.7,61.42,61.59,74.18,242.57,254.18,208.83,224.95,185.55,199.09,173.24,179.31,170.81,174.76,166.39,161.21,157.62,154.23,153.04,148.74,145.03,144.05,140.38,142.01,145.2,140.71,142.74,139.89,138.44,139.64,140.5,138.55,142.79
20-04-AT,46.63,50.0,49.92,45.38,47.34,42.61,43.24,47.83,47.19,51.26,41.15,49.94,53.87,59.13,75.71,100.47,182.95,166.87,230.16,237.0,212.86,242.36,211.31,257.98,240.27,234.4,240.62,242.29,251.34,239.99,238.23,240.87,243.07,238.02,248.16,256.45,234.09,251.97,234.31,231.57,231.74,245.25,233.19,234.32,241.94
23-06-A,45.49,48.6,47.74,47.86,48.25,43.69,42.91,52.6,57.71,62.6,64.35,78.23,83.54,83.29,95.8,129.4,159.36,214.0,234.23,244.14,222.82,228.92,239.07,261.35,257.13,251.39,294.48,264.47,248.01,237.76,243.61,239.19,241.68,245.12,236.01,215.75,228.96,232.2,221.03,225.59,229.66,219.94,220.87,226.49,215.45
26-09-CT,49.95,56.88,54.5,57.27,56.47,50.86,54.1,54.67,58.26,52.79,44.98,60.14,64.86,71.32,84.48,87.14,100.87,170.37,176.69,182.09,163.8,159.92,173.8,173.36,176.25,167.55,172.48,176.52,169.09,159.47,170.99,166.69,175.38,166.92,170.44,159.11,153.12,161.13,154.42,151.44,161.77,152.07,145.61,151.66,156.08
19-18-A,48.29,51.63,51.46,46.69,47.06,43.35,43.01,49.42,45.29,48.17,41.1,48.49,58.77,58.86,57.03,69.28,78.33,200.93,193.15,199.25,162.28,206.87,164.36,200.1,191.39,193.65,186.2,188.62,192.63,196.16,190.96,194.56,191.27,182.34,176.99,187.88,178.96,176.75,179.03,174.35,165.24,175.72,169.64,169.92,184.98
13-18-A,52.93,50.52,53.65,45.16,43.74,46.75,45.9,51.57,50.87,51.34,43.67,48.52,58.6,57.35,47.69,59.77,64.0,332.48,253.26,289.52,223.84,256.13,197.84,215.95,211.8,183.96,174.6,164.1,158.82,150.19,145.63,144.67,131.92,120.04,120.29,115.25,128.05,122.29,112.4,115.87,113.74,119.67,115.2,106.85,111.38
16-14-AT,49.0,49.01,49.33,44.78,44.93,48.59,45.84,48.48,48.1,47.86,40.33,45.3,49.98,49.04,48.65,66.38,96.93,214.32,184.54,206.65,177.5,188.61,159.83,191.14,186.44,189.22,188.15,186.19,187.36,190.06,193.03,181.87,181.14,176.66,176.97,179.0,179.49,168.52,174.72,178.82,175.06,176.65,173.27,168.78,176.65
22-07-AT,39.22,37.59,39.79,39.22,40.28,37.53,34.07,46.56,42.37,41.86,36.96,45.28,42.42,42.82,44.67,44.9,41.21,188.17,134.21,127.9,106.42,127.52,106.09,113.63,111.44,111.85,114.69,111.3,109.78,108.78,109.51,108.53,110.56,30.49,30.38,30.52,29.63,30.48,30.19,29.94,30.62,28.54,28.58,28.78,27.49
25-09-AH,35.45,40.67,39.02,38.5,37.16,33.63,34.92,38.68,37.87,34.71,30.11,47.46,54.52,55.63,66.77,76.64,97.08,174.9,233.25,240.01,246.04,241.45,238.13,247.89,254.76,240.06,247.78,249.88,256.1,255.69,247.06,250.56,259.44,249.63,233.73,250.82,242.53,252.22,236.27,227.73,239.88,240.59,241.9,234.47,241.47
21-01-AT,37.91,41.14,38.3,38.62,36.94,34.29,32.53,43.44,44.45,44.18,41.88,51.17,57.79,59.46,57.46,69.71,67.38,172.85,194.15,209.78,164.65,202.51,174.86,198.01,189.35,195.72,190.21,193.36,193.73,190.75,188.46,187.72,191.45,191.18,189.81,191.85,196.21,189.59,186.49,189.6,185.7,177.82,185.6,182.08,181.15
17-02-B,42.13,46.99,53.48,53.33,61.33,61.21,71.11,75.0,77.88,80.34,73.83,86.05,94.74,97.06,88.72,97.01,104.73,123.3,117.81,137.38,154.48,175.64,145.71,172.29,163.72,184.1,191.79,170.57,179.66,164.55,169.37,171.14,179.57,170.43,164.61,166.28,169.99,166.16,182.21,176.58,155.16,151.04,187.63,185.6,148.37
29-17-BT,47.69,51.66,55.88,53.59,58.01,51.84,44.15,48.72,53.1,43.25,44.21,60.8,80.21,78.3,93.11,89.16,95.01,123.0,155.81,160.26,151.25,155.61,162.59,168.17,171.45,158.74,162.56,156.63,161.55,159.45,168.9,162.82,162.63,157.51,161.05,155.2,159.46,148.01,156.25,150.43,151.0,132.84,154.49,153.24,144.86
10-07-A,42.85,46.15,52.57,50.53,58.98,59.44,66.37,69.39,78.9,76.53,73.18,81.28,91.47,98.55,99.56,102.61,109.99,113.15,113.51,127.69,120.91,146.23,139.71,186.64,179.29,164.15,185.08,176.32,163.97,169.63,153.45,163.08,175.63,158.38,165.59,187.97,155.14,179.02,170.32,160.17,176.6,181.57,181.27,189.14,162.77
01-11-A,42.92,45.09,46.59,41.49,41.36,45.56,41.0,43.61,43.34,48.92,47.07,44.23,56.05,60.95,57.62,69.98,77.33,77.18,86.15,94.44,93.32,96.27,109.87,108.55,116.37,120.65,131.02,149.96,140.84,132.4,119.29,105.02,98.07,90.71,82.86,74.13,63.26,55.37,48.47,42.08,37.78,34.25,30.17,31.47,28.24
26-07-ATH,40.59,44.27,42.28,43.61,43.31,38.55,38.62,41.71,41.97,41.49,32.95,42.47,41.01,46.54,53.85,60.26,61.17,81.09,152.64,139.2,113.82,99.25,95.14,96.15,92.91,86.79,88.35,83.96,78.58,75.54,79.27,78.65,82.37,79.53,76.85,77.57,73.9,75.25,73.09,71.16,73.55,74.82,69.61,70.4,70.62
26-09-CH,51.74,60.79,55.39,58.19,58.49,56.61,58.33,63.97,66.37,62.2,56.15,70.82,62.99,70.88,78.55,92.45,94.97,150.93,266.45,301.79,284.81,274.71,277.57,278.86,284.78,276.95,275.78,278.14,264.69,267.12,273.28,270.47,282.07,269.28,266.58,267.84,263.44,266.83,256.68,250.58,255.84,262.39,245.03,260.31,263.33
05-08-AH,50.72,50.05,52.29,45.92,46.82,45.98,44.36,49.45,50.99,50.32,47.79,45.03,63.41,65.91,66.33,81.04,85.67,83.68,175.36,220.16,195.47,211.06,206.47,202.56,214.54,203.0,210.56,201.44,202.39,199.88,191.46,192.59,187.54,181.06,184.72,176.94,174.73,178.08,181.36,175.12,170.02,171.11,174.77,158.52,157.38
27-12-A,34.63,37.64,40.1,40.3,40.62,39.45,41.21,46.93,52.7,52.8,48.82,66.51,65.6,67.66,72.51,82.43,81.01,114.84,211.85,203.48,193.46,179.3,174.99,183.38,174.88,170.05,164.18,166.47,163.79,165.56,162.08,160.73,148.87,153.54,151.1,146.24,145.33,143.38,146.66,134.26,138.02,138.81,133.56,138.96,141.72
11-12-AT,59.06,58.34,61.79,53.16,55.22,54.13,55.38,55.28,54.23,55.09,48.66,49.29,57.65,57.94,50.81,62.19,64.52,70.53,79.53,229.85,204.64,245.27,200.81,241.68,234.93,238.18,230.82,230.57,231.1,225.06,232.2,223.49,224.66,223.46,222.93,228.99,219.89,228.31,237.41,230.23,215.88,223.37,229.28,219.18,222.19
04-13-AT,59.2,61.44,61.47,57.57,56.68,57.81,55.9,58.46,61.51,62.05,61.34,53.19,68.03,64.8,54.83,65.7,63.5,60.46,142.49,275.37,226.25,261.46,256.38,265.21,264.21,236.34,240.64,226.57,229.36,216.44,208.28,194.01,204.09,203.61,197.54,195.1,190.14,195.5,193.39,186.41,194.89,190.97,199.81,207.02,207.26
27-13-A,28.87,37.74,40.04,38.18,41.37,37.7,35.89,40.77,39.23,40.12,37.34,59.61,60.52,63.99,72.04,86.28,78.56,98.6,100.9,125.16,129.01,132.27,134.78,155.1,150.12,143.38,141.31,177.86,177.37,135.62,189.73,178.29,166.31,153.44,143.34,124.51,109.02,96.97,91.49,76.44,68.28,65.93,61.99,66.31,65.55
29-15-B,67.53,79.0,92.41,95.21,102.83,102.15,98.75,102.44,114.82,97.66,104.01,124.28,137.83,128.47,154.34,158.62,151.71,174.92,179.38,182.49,182.35,185.39,193.43,206.28,235.91,225.66,240.82,245.42,259.43,271.62,300.93,294.53,295.19,296.7,296.45,307.06,298.91,284.45,293.58,294.54,315.95,263.36,297.41,288.25,303.63
22-07-AH,39.22,37.59,39.79,39.22,40.28,37.53,34.07,42.39,41.2,39.4,34.96,42.01,40.86,40.6,43.22,42.61,37.54,46.78,48.36,51.0,138.78,156.03,129.85,144.94,136.55,136.62,140.52,137.13,138.77,135.21,138.74,132.17,133.25,135.39,134.13,122.21,122.97,115.13,117.45,114.76,110.03,107.07,108.38,109.32,101.74
14-15-A,39.58,42.9,43.82,39.93,38.79,39.35,41.45,46.39,46.1,53.58,51.83,64.69,72.02,82.52,76.97,89.22,95.83,93.83,91.78,114.2,230.94,275.88,234.06,281.35,272.55,284.07,268.4,250.45,246.58,235.06,227.31,234.96,235.37,237.89,233.55,232.69,239.78,229.62,216.16,242.33,223.82,220.79,222.11,210.07,227.25
22-05-BH,41.33,41.32,45.78,38.39,39.95,37.83,33.21,43.87,39.1,39.04,32.15,41.39,50.24,58.28,68.21,71.18,68.1,80.44,82.8,89.66,87.01,99.93,95.88,111.9,108.55,119.56,131.35,151.59,171.67,161.43,168.32,153.2,140.95,142.22,147.26,148.95,136.25,143.77,143.7,136.61,139.73,131.44,133.27,136.51,126.92
18-03-AT,58.88,63.87,60.32,57.35,53.65,50.64,51.89,52.7,49.55,49.25,42.64,45.44,48.07,54.4,59.59,74.93,75.14,90.67,94.01,109.97,126.61,189.04,193.28,235.72,249.99,213.94,197.7,202.21,195.75,190.47,186.46,174.55,171.84,178.81,109.02,83.37,71.86,69.78,62.12,65.77,59.01,56.97,55.82,57.67,56.43
18-06-AH,32.47,35.64,33.86,32.26,31.67,29.35,33.57,34.8,32.91,33.26,30.41,34.21,33.49,33.33,31.77,35.88,31.24,36.21,35.8,49.04,50.81,166.15,137.58,145.89,130.83,133.48,123.34,130.38,128.15,122.84,119.81,114.99,114.07,115.73,112.64,116.54,117.38,113.67,111.59,114.41,113.06,110.2,108.18,109.13,109.8
22-05-BT,49.12,44.39,48.4,47.12,44.96,41.29,38.85,47.54,46.17,41.52,35.99,48.93,57.14,64.8,69.64,74.12,71.07,84.17,88.33,97.93,84.15,116.44,102.63,117.63,116.01,131.55,138.39,153.31,170.17,161.86,171.17,160.97,157.1,160.93,161.6,161.55,160.93,160.13,162.87,160.27,157.6,152.74,161.04,164.06,153.49
22-11-AT,40.61,39.17,41.76,38.96,38.88,38.28,37.32,48.33,50.53,53.1,49.34,66.81,65.35,61.89,70.72,76.5,74.94,95.01,96.1,108.0,95.16,124.91,104.8,124.32,199.34,201.79,194.48,173.99,171.3,177.97,158.99,167.39,178.87,163.98,161.31,139.55,141.1,134.77,145.17,141.5,134.67,139.88,141.15,132.92,128.8
22-11-AH,36.08,34.2,36.19,36.27,36.26,35.51,31.78,42.93,44.42,48.89,45.47,58.34,57.41,58.55,60.47,64.89,65.77,77.08,87.17,97.44,84.89,110.31,97.08,114.98,173.01,177.07,171.92,165.36,159.31,157.49,150.25,146.42,153.67,145.06,145.24,129.26,133.51,133.22,135.76,128.05,128.7,126.82,132.54,128.24,115.22
14-09-BT,42.57,45.7,52.23,46.21,45.14,44.4,46.26,49.63,44.67,47.74,40.82,45.35,47.85,46.57,41.29,46.75,48.14,44.16,42.16,50.39,46.81,126.1,123.09,136.29,134.74,129.94,123.1,115.34,117.24,116.4,116.45,114.33,110.55,116.17,113.35,114.69,111.33,107.71,99.21,106.69,107.27,102.63,102.51,101.17,106.03
12-07-AH,53.24,50.34,53.76,45.23,46.09,45.68,44.63,52.52,46.42,47.34,43.42,42.49,47.87,51.95,52.49,60.88,68.05,65.91,67.86,78.86,93.8,146.16,154.45,213.87,211.97,245.7,239.78,240.26,225.65,228.75,225.96,223.1,217.3,223.08,216.59,217.55,230.66,219.14,213.69,215.84,211.44,220.8,218.45,218.76,220.19
14-09-BH,41.86,46.15,49.71,43.92,43.16,43.15,45.91,48.48,44.41,44.51,39.16,43.38,44.99,45.21,40.27,44.71,45.81,43.57,41.64,46.03,42.65,78.68,177.01,209.59,212.44,207.84,201.04,187.35,194.44,195.2,192.67,190.92,195.63,201.08,196.95,198.67,202.87,192.82,186.49,198.74,197.33,193.74,192.1,191.27,192.78
23-10-AH,30.68,35.01,33.03,33.43,32.75,29.54,29.46,30.5,31.67,31.45,29.96,34.45,34.19,31.03,30.33,31.88,28.18,31.95,32.42,33.57,32.38,37.91,67.11,122.32,93.94,73.91,66.36,40.75,28.94,22.97,22.26,24.2,23.32,23.08,20.63,18.41,22.42,21.17,21.83,20.61,21.67,21.16,20.21,21.13,18.77
05-15-A,40.79,42.72,44.69,39.15,40.17,39.34,37.28,41.64,42.92,43.32,41.51,35.28,44.45,41.5,36.41,44.5,47.27,57.24,66.11,82.32,76.38,100.31,122.64,126.24,193.72,203.62,181.4,162.82,155.9,148.45,139.8,142.61,152.43,145.49,145.9,146.53,144.78,145.62,148.4,140.65,147.09,145.17,142.51,137.11,141.48
19-08-CH,54.45,55.5,54.82,51.15,52.19,53.69,56.79,63.16,58.4,57.1,52.18,55.33,59.59,53.15,51.56,54.85,50.96,62.84,66.77,76.21,73.02,101.26,162.47,186.95,183.66,179.61,177.71,179.58,178.18,176.79,174.77,178.21,176.58,170.09,165.0,179.82,169.72,176.7,173.14,167.8,164.78,172.68,167.64,168.81,185.13
15-05-A,36.87,45.34,48.01,52.89,57.27,57.69,67.95,74.61,78.25,79.13,75.23,85.29,97.04,95.66,88.87,104.64,105.94,107.82,103.35,121.87,114.89,132.3,121.41,156.49,155.24,172.5,185.14,192.34,188.9,202.79,205.24,208.44,206.0,212.19,222.5,226.58,221.77,241.0,252.09,253.56,261.8,199.23,196.44,189.77,191.91
02-08-AT,44.64,44.2,46.98,41.99,42.05,44.17,43.56,42.29,44.17,44.57,40.51,38.85,44.29,44.92,38.59,42.47,43.36,38.43,44.58,48.99,49.17,55.75,60.2,167.24,145.23,134.45,132.41,133.9,127.14,31.1,29.73,29.12,29.65,30.08,28.34,29.68,29.46,30.78,29.53,29.67,30.43,31.05,27.97,32.21,27.37
27-11-AT,40.1,44.55,45.35,43.56,44.14,41.05,38.88,40.96,43.5,40.02,35.02,46.29,41.67,38.18,39.25,40.06,33.55,40.24,41.51,39.66,39.72,40.91,48.39,169.21,151.77,142.91,133.48,140.1,136.86,140.79,129.12,131.11,127.22,126.85,130.44,126.41,122.57,122.57,124.77,117.33,117.75,119.76,115.67,110.46,110.96
20-13-AH,42.81,45.55,46.11,42.83,43.81,38.86,39.13,45.47,46.56,61.18,53.56,63.96,69.64,73.62,73.5,83.14,79.74,88.44,96.12,111.81,106.58,144.78,136.41,203.01,229.57,266.27,278.93,281.79,272.91,267.53,265.85,260.51,247.99,256.86,249.79,259.29,231.37,230.66,223.73,217.76,212.96,206.12,206.18,200.06,216.87
07-11-AT,44.9,45.98,44.45,41.04,42.15,42.05,40.8,45.59,45.27,47.14,40.02,39.9,49.68,45.19,37.52,45.45,43.91,38.54,39.38,56.55,51.02,60.44,59.81,153.95,101.57,86.54,69.01,63.65,61.33,62.56,58.61,57.91,56.55,55.2,53.66,49.72,49.16,49.61,49.17,49.01,50.07,49.32,52.56,44.45,48.1
25-09-AT,39.21,44.22,43.94,42.6,42.32,38.66,38.84,41.91,43.42,39.76,35.06,44.87,44.25,39.22,40.58,42.81,46.3,57.03,64.4,68.61,70.34,77.75,82.94,181.58,205.35,195.1,196.1,194.78,199.38,190.31,189.66,182.25,189.49,176.82,173.01,178.74,166.65,177.91,165.65,161.04,170.39,169.86,171.24,157.44,165.83
19-02-A,48.78,51.3,51.9,46.44,46.21,44.07,44.06,51.24,46.07,46.47,42.01,47.12,48.54,44.37,41.91,47.28,43.22,46.76,47.15,48.99,43.54,54.6,51.33,192.58,124.34,104.75,90.86,85.25,83.41,79.54,76.54,77.99,75.71,73.4,68.72,75.52,68.4,69.25,68.22,64.42,64.32,67.96,62.82,65.95,67.08
18-08-A,35.55,36.51,37.31,34.23,33.43,32.07,35.14,37.16,36.07,36.53,32.24,36.38,37.03,38.26,33.47,37.04,33.91,36.16,37.43,41.93,38.19,55.19,92.36,136.36,173.83,185.25,174.55,190.96,178.68,177.28,170.09,162.61,163.68,158.74,152.66,164.76,159.95,162.78,158.76,162.19,160.31,155.79,155.06,152.02,156.52
19-08-B,42.72,43.16,44.67,41.37,41.8,40.15,39.97,46.14,43.35,42.52,37.23,42.79,43.38,43.0,41.1,50.15,49.88,61.56,66.67,80.67,82.02,110.61,121.58,156.21,182.01,198.72,198.51,200.52,211.13,205.03,204.09,214.41,206.54,198.45,195.72,210.57,203.55,209.59,206.16,197.23,201.87,208.8,202.94,205.88,223.13
13-02-BH,56.57,53.69,59.9,53.13,51.06,51.55,49.64,55.46,52.5,49.97,44.24,48.01,56.71,56.58,44.75,52.4,50.45,47.17,43.86,59.34,56.54,76.26,98.57,196.63,144.42,129.09,121.71,115.2,113.48,112.59,110.42,109.48,109.37,102.31,106.66,101.97,107.26,98.87,96.07,96.64,96.52,96.71,91.41,90.69,92.27
11-02-AT,64.76,67.49,67.54,61.31,62.26,59.69,61.52,59.68,56.09,60.93,52.67,60.39,81.68,88.38,90.32,102.62,108.86,112.7,110.01,109.18,123.59,158.18,144.92,254.9,261.66,256.85,273.85,255.95,257.38,249.0,253.38,247.79,246.67,235.81,247.58,249.24,247.05,237.9,249.68,248.66,231.06,235.06,244.81,226.72,237.62
02-04-AH,46.97,46.85,49.55,45.98,43.22,47.48,46.03,45.16,49.39,49.08,45.6,44.85,47.63,49.53,46.71,53.19,57.02,52.88,62.94,67.89,65.32,69.88,75.87,87.33,110.01,109.62,121.07,128.76,146.22,152.6,153.3,159.89,157.09,145.18,132.13,139.89,140.93,142.98,137.38,138.41,139.06,143.88,124.72,146.22,128.39
02-04-ATH,40.56,40.26,44.98,38.85,37.77,42.68,39.64,40.48,43.2,43.64,38.78,40.07,42.66,42.52,37.4,40.8,43.06,36.8,39.81,45.48,41.16,43.2,45.45,46.85,225.0,164.77,155.39,148.93,146.17,143.63,130.6,121.45,116.08,114.15,112.55,119.25,116.73,117.72,115.95,120.36,118.46,125.97,108.85,123.44,110.35
12-14-A,57.17,53.63,57.68,48.58,48.58,48.24,48.35,53.0,50.96,50.05,45.03,44.84,57.81,62.31,56.41,66.59,70.41,68.46,67.01,80.84,75.25,93.94,90.25,123.38,236.85,255.33,238.41,230.91,217.16,213.71,210.79,222.75,216.81,216.71,218.12,209.59,229.26,215.9,203.18,213.7,202.0,214.16,207.81,204.27,222.0
06-04-A,54.84,58.04,65.53,64.98,70.33,67.17,73.09,77.13,81.36,87.33,85.4,78.69,99.63,99.97,91.72,96.19,104.95,93.13,99.91,122.55,107.51,120.25,121.14,127.86,149.51,147.28,151.12,158.35,156.75,172.81,169.58,163.31,164.63,163.05,176.76,164.77,172.61,174.11,175.43,186.7,182.22,185.44,201.67,189.67,195.78
19-10-A,43.33,44.13,43.44,32.72,38.13,35.94,36.24,41.42,37.21,37.67,34.5,39.8,42.11,38.0,36.11,40.2,36.75,39.92,39.63,43.21,36.93,48.86,47.14,97.47,189.52,201.4,194.13,196.45,194.19,192.31,187.73,193.7,188.46,179.43,167.05,180.68,161.96,170.24,159.46,155.23,153.25,157.75,154.15,155.32,172.23
04-06-AT,46.35,48.63,46.24,44.78,43.35,44.13,41.16,44.67,43.99,44.19,43.55,40.24,47.38,45.78,39.47,46.99,42.36,39.38,38.82,48.08,39.62,44.68,45.36,45.7,50.52,204.24,168.51,163.62,158.79,148.55,141.94,137.63,142.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06-07-AT,45.64,44.8,46.07,43.87,44.08,41.8,42.66,42.73,42.86,44.53,39.03,35.5,44.58,40.88,36.47,39.02,48.21,43.99,54.17,73.76,67.16,84.13,88.81,97.27,109.76,162.68,212.47,242.57,250.11,194.4,236.66,222.54,213.92,208.66,212.32,202.88,197.35,203.34,205.59,202.56,209.52,197.12,215.59,199.07,207.85
