,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h
10-03-AT,51.2,51.41,53.67,46.59,48.65,46.39,49.28,48.22,51.4,50.66,46.73,45.62,52.66,50.48,42.58,50.67,50.77,47.07,45.55,49.94,47.29,58.67,56.35,70.74,73.67,85.37,129.78,232.67,198.51,171.59,167.36,164.54,161.61,157.1,166.96,163.72,154.53,165.72,162.99,157.03,156.76,155.17,152.91,155.77,149.84
05-12-AH,38.53,40.87,42.74,35.89,38.42,34.85,34.4,38.91,39.59,40.16,36.21,32.32,40.46,38.88,37.45,46.3,45.84,41.0,44.28,54.68,48.16,54.21,53.11,54.66,63.27,62.76,65.94,48.74,67.58,63.36,68.05,76.32,76.22,71.61,88.13,106.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23-10-AT,39.4,44.01,43.53,44.08,45.47,39.55,40.19,43.79,42.44,40.5,39.69,48.34,50.67,49.62,51.88,54.56,52.29,57.6,57.88,62.84,57.96,63.02,65.2,71.06,74.59,77.26,83.98,84.26,84.91,94.08,105.86,109.79,114.23,126.46,123.95,139.58,134.02,140.71,131.56,125.88,117.48,109.27,99.15,100.03,97.35
17-06-A,44.6,45.23,45.88,42.75,43.08,41.08,41.95,44.6,44.09,44.41,38.65,43.63,45.74,42.1,38.51,43.23,38.42,41.63,37.76,46.23,42.87,50.89,51.0,61.58,63.39,67.61,71.91,78.62,87.98,137.1,144.94,140.35,142.21,140.36,137.53,135.29,140.79,141.4,141.64,136.69,130.01,138.45,131.39,127.21,128.31
18-02-AT,45.65,46.16,46.99,41.65,40.21,38.09,42.73,50.59,55.95,60.41,59.99,67.94,73.14,78.42,76.09,93.03,86.41,92.83,93.72,99.6,91.35,109.52,100.55,117.55,115.64,122.34,119.7,128.49,129.43,134.61,136.8,139.13,143.23,142.33,135.12,144.16,125.21,124.67,125.18,131.5,126.88,129.79,125.55,123.64,133.27
10-03-AH,39.32,39.99,42.47,34.87,37.4,34.96,37.21,36.51,39.07,37.75,34.59,33.76,39.21,39.56,33.63,38.21,35.4,39.39,37.46,47.63,43.93,49.08,46.8,57.74,59.83,60.69,66.99,72.02,75.78,87.07,144.05,112.76,117.9,111.98,116.16,114.1,112.71,123.22,119.84,117.12,122.12,119.67,120.32,124.16,116.51
05-12-AT,41.25,41.77,41.8,38.99,40.46,36.59,35.85,40.36,45.46,44.07,40.95,35.39,46.78,41.27,37.54,41.26,42.87,38.52,36.66,44.91,36.67,41.9,40.59,42.0,45.92,41.7,46.13,45.65,46.72,45.28,168.29,167.72,186.4,178.56,166.87,153.17,128.92,153.11,91.18,82.17,66.89,72.14,73.38,59.66,65.59
14-01-AT,44.49,48.41,48.65,43.61,46.33,52.18,60.43,69.76,61.25,68.16,62.08,72.45,75.59,76.53,74.66,85.72,81.15,79.41,72.53,85.06,76.89,91.53,78.2,94.95,89.84,94.62,95.5,92.36,98.85,100.27,102.87,104.01,106.97,110.78,111.61,112.44,124.29,121.43,148.17,169.34,156.44,145.01,130.8,121.18,108.84
04-01-AH,46.59,48.82,48.98,43.34,43.6,45.04,42.33,43.47,44.22,45.37,47.5,40.65,47.73,46.45,40.58,46.38,43.7,38.82,38.69,48.72,43.19,45.3,43.23,44.95,45.13,44.85,44.72,45.09,49.02,74.3,132.07,125.12,134.59,128.39,128.35,123.53,124.84,122.8,123.76,121.84,118.88,119.55,105.59,108.97,109.26
26-07-AH,35.99,39.39,38.17,39.39,39.42,36.02,36.02,41.72,41.0,42.02,40.1,54.79,56.84,62.0,67.34,71.46,71.29,83.43,88.15,89.61,91.1,88.53,93.29,100.98,103.11,103.91,110.07,114.88,113.92,117.1,134.35,251.49,272.48,257.61,260.57,254.16,249.72,259.66,244.72,245.57,254.42,261.12,242.42,255.23,263.49
